id,summary,status,owner,type,component,version
13223,ValueError with inline and save as new,closed,igors,Bug,contrib.admin,1.1
13222,unexpected HttpResponse iteration behavior,closed,aaugustin,Bug,HTTP handling,1.3-rc
13206,Model does not call super __init__,closed,nobody,Bug,"Database layer (models, ORM)",master
13205,Fix empty value detection in DateTimeField with SplitDateTimeWidget rendering,closed,nobody,Bug,Forms,1.1
13204,`values()` returns empty list after `extra(order_by)`,closed,nobody,Bug,"Database layer (models, ORM)",1.1
13203,Deletion error of model with generic relation to inherited model,new,nobody,Bug,contrib.contenttypes,1.1
13198,exclude() bug when used with Q() objects,closed,nobody,Bug,"Database layer (models, ORM)",1.1
13179,last_insert_id method cannot find sequence,closed,nobody,Bug,"Database layer (models, ORM)",1.1
13167,Non-existent arg passed to template filter raises VariableDoesNotExist,closed,nobody,Bug,Template system,master
13161,"Ticked 2514 and 5171, solution for using Django with other psycopg2 applications.",new,nobody,Bug,"Database layer (models, ORM)",1.4
13154,Make reverse() match the behavior of resolve(),closed,nobody,Bug,Core (Other),master
13137,GenericForeignKey does not allow content type PK 0,closed,woodlee,Bug,contrib.contenttypes,master
13125,login_required does not check User.is_active,closed,nobody,Bug,contrib.auth,1.1
13106,Show confirmation page when deleting objects from an inline form,closed,nobody,Bug,contrib.admin,1.1
13091,admin list_editable with unique_together raises Integrity Error,new,nobody,Bug,Forms,master
13085,GenericForeignKey.get_content_type fails if `object` or `id` evaluate to False.  Should use 'is not None' test.,closed,Ramiro Morales <cramm0@…>,Bug,contrib.contenttypes,master
13080,Documentation bug for Signal.connect,new,nobody,Bug,Documentation,1.2-beta
13075,BaseForm __init__ doesn't super and so breaks MI Mixins,closed,nobody,Bug,Forms,1.1
13068,"The ""Add another [inline object]"" javascript doesn't respect prepopulated_fields settings",new,seanbrant,Bug,contrib.admin,1.7
13019,create_update: proxy object displayed instead of model verbose name,new,nobody,Bug,"Database layer (models, ORM)",1.1
13017,generic relation generates needless join,closed,nobody,Bug,"Database layer (models, ORM)",master
13016,Invalid ForeignKey ids in fixtures do not cause any error messages,closed,nobody,Bug,Testing framework,1.1
13015,Language regarding ModelForms with instances attached vs. bound Forms is unclear,closed,timgraham,Bug,Documentation,master
13008,@never_cache decorator should add  'no-cache' & 'no-store',closed,mbertheau,Bug,Core (Cache system),master
12996,django.contrib.localflavor.it.forms do not handle help_text correctly,closed,nobody,Bug,Forms,master
12974,Admindocs app introspection omits several model methods,new,jabapyth,Bug,contrib.admindocs,master
12972,flatpages chokes if the url doesn't begin and end with a slash (but doesn't validate for it),closed,jabapyth,Bug,contrib.flatpages,master
12943,Unnamed captures are not passed to views in included URLconfs,closed,bpeschier,Bug,Core (URLs),1.1
12923,Base last_executed_query() does not escape parameters,closed,pablobm,Bug,"Database layer (models, ORM)",1.2-beta
12915,formfield_callback is lost in an inherited ModelForm,new,nobody,Bug,Forms,1.1
12909,Exceptions raised in response middleware don't invoke site 500/404 handlers.,closed,nobody,Bug,Core (Other),1.2-beta
12907,Problems with django admin on Jython with custom user models,closed,nobody,Bug,"Database layer (models, ORM)",1.1
12890,extra() tables included twice do not generate aliases,new,daveycrockett,Bug,"Database layer (models, ORM)",1.3
12889,Using annotation unexpectedly returns DecimalFields as floats,closed,wogan,Bug,"Database layer (models, ORM)",master
12886,.aggregate() does not honour sliced queryset,closed,Anssi Kääriäinen <akaariai@…>,Bug,"Database layer (models, ORM)",1.4
12885,GenericRelation fails to join the related table from a inherited model,new,nobody,Bug,contrib.contenttypes,1.1
12842,Importing a non-installed app assumes the non-installed DB table exists,closed,niall,Bug,"Database layer (models, ORM)",master
12836,Model.get_absolute_url lose method attributes,closed,minmax,Bug,"Database layer (models, ORM)",master
12823,Wrong SQL query when using .exclude(),closed,Anssi Kääriäinen <akaariai@…>,Bug,"Database layer (models, ORM)",1.1
12817,email validator is maybe too stingy (user@hostname fails),closed,anonymous,Bug,Core (Other),1.1
12810,Add validation for clashing ManyToManyField.db_table names,assigned,christopherdcunha,Bug,Core (System checks),master
12807,Empty results break when part of ORs,closed,nobody,Bug,"Database layer (models, ORM)",1.1
12794,Interaction between sessions and django.views.i18n.set_language causes caching errors,new,nobody,Bug,Internationalization,1.1
12789,ConditionalGetMiddleware behavior improvement.,closed,nobody,Bug,Core (Cache system),master
12767,Problem running syncdb with a multi-db router that restricts auth to a single database,closed,nobody,Bug,"Database layer (models, ORM)",master
