ID,Title,Created At,Closed At
1986,Importing pyplot messes with command line argument parsing,2013-05-08T16:25:49Z,2016-02-15T22:35:21Z
1980,Custom marker created from vertex list scales wrong,2013-05-06T23:13:33Z,2014-08-26T03:42:02Z
1962,"When legend is outside the axes, pick events get handled twice",2013-04-30T11:00:28Z,2014-02-01T03:56:22Z
1960,"Right and top spine placement: set_position(('data', x)) puts the spine at x + 1 instead of x.",2013-04-29T12:20:42Z,2013-06-16T21:13:42Z
1957,matplotlib 1.2 / pylab_examples example code: multiple_yaxis_with_spines.py,2013-04-28T10:59:26Z,2013-05-03T23:18:27Z
1910,Pylab contourf plot using Mollweide projection create artefacts,2013-04-16T06:41:31Z,2016-11-27T18:45:36Z
1897,Doc build failure - unicode error in generate_example_rst,2013-04-12T11:33:38Z,2013-04-17T14:17:58Z
1894,Exporting figure as pdf using savefig() messes up axis background in OS X,2013-04-09T22:11:22Z,2013-04-12T14:39:24Z
1883,Cairo backend reports file closed on writing to SVGZ file format.,2013-04-04T17:02:13Z,2015-07-17T03:52:20Z
1810,Cairo + plot_date = misaligned x-axis labels,2013-03-06T05:45:18Z,2013-04-19T20:16:41Z
1769,FunctionAnimator tries to take length of iterator,2013-02-20T13:52:02Z,2014-01-06T10:10:11Z
1758,y limit with dashed or dotted lines hangs with somewhat big data,2013-02-18T14:58:09Z,2016-05-22T03:58:20Z
1751,Polygon is corrupted with SVG backend in a certain condition,2013-02-16T00:49:26Z,2014-10-19T04:52:41Z
1747,NotImplementedError: cannot remove artist,2013-02-13T12:11:57Z,2014-01-09T10:48:38Z
1737,MacOSX backend unicode problems in python 3.3,2013-02-04T21:45:51Z,2013-05-20T19:37:21Z
1733,im.set_clip_path(rectangle) doesn't work,2013-02-02T09:00:10Z,2014-01-23T12:57:53Z
1719,"Can't pickle bar plots: Failed to pickle attribute ""gridline""",2013-01-30T02:42:21Z,2016-10-22T08:23:59Z
1679,matplotlib-1.2.0: regression in histogram with barstacked drawing?,2013-01-17T16:29:00Z,2013-03-01T17:13:10Z
1673,Images saved as SVG get upside down when `svg.image_noscale` is True.,2013-01-17T03:05:32Z,2013-01-18T00:58:23Z
1591,Image being snapped erroneously,2012-12-12T11:29:13Z,2013-03-22T16:08:20Z
1541,Transparecy of figures in 3D plots (mplot3d),2012-11-28T17:51:44Z,2014-07-11T21:58:14Z
1539,Pickling of log axes,2012-11-28T11:03:36Z,2013-05-10T19:31:03Z
1530,saving a figure triggers (very) excessive IO activity ,2012-11-24T16:32:20Z,2013-05-24T19:28:41Z
1501,Panning and zooming does not work on axes created with twinx (and twiny),2012-11-15T15:05:55Z,2014-08-18T00:47:29Z
1499,twinx() on an inset axes wrongly acts on the main axes,2012-11-14T22:54:22Z,2014-02-25T02:13:38Z
1495,"scatter docstring, minor",2012-11-13T21:47:56Z,2012-11-14T00:07:14Z
1490,empty scatter messes up the limits,2012-11-13T18:08:11Z,2013-02-17T20:58:59Z
1465,Undefined elements in axes module,2012-11-08T16:51:45Z,2012-12-07T04:14:07Z
1444,Colorbar edges are different in PDF backend,2012-11-01T13:06:09Z,2012-11-01T17:13:41Z
1441,Misalignment imshow vs. grid lines,2012-10-31T13:07:35Z,
1424,pcolor fails if edgecolors is not a string,2012-10-22T12:30:09Z,2012-10-23T14:02:14Z
1415,Plot title should be shifted up when xticks are set to the top of the plot,2012-10-19T13:17:07Z,
1371,vertical alignment of yticklabels fails on `0`,2012-10-12T15:45:08Z,2014-01-16T22:39:32Z
1343,Date axis formatter problem,2012-10-08T18:47:00Z,2012-10-14T05:09:56Z
1325,Auto-scaling of extent not working for subplots when using sharex and sharey,2012-10-03T21:17:06Z,2015-07-17T03:50:44Z
1318,qt4backend zoom-to-rect box is drawn incorrectly on OSX,2012-09-29T19:52:57Z,2015-07-18T18:56:28Z
1316,very high negative zorder breaks vector graphic rendering,2012-09-27T14:12:13Z,2012-10-01T22:11:41Z
1310,Drops last tick label for some ranges,2012-09-25T21:34:43Z,2013-04-09T04:05:35Z
1307,Marker not round with markersize=3,2012-09-25T13:30:09Z,2012-09-26T10:19:04Z
1302,pcolormesh bug: edgecolor ignored,2012-09-24T15:41:19Z,
1295,Exception when using Container.remove,2012-09-21T22:40:18Z,2012-09-22T06:25:42Z
1249,transAxes isn't working properly with scale='log',2012-09-14T11:25:31Z,2012-09-18T18:55:10Z
1246,axvline fails with log scaling,2012-09-14T09:00:56Z,2012-09-18T18:54:58Z
1235,Legend placement bug,2012-09-12T18:45:48Z,2016-03-07T14:11:57Z
1211,PDF renderer draws strange artifacts on '%' character in 1.1.1,2012-09-07T11:30:12Z,2012-09-10T15:28:30Z
1203,multi-subplot animation problem,2012-09-04T17:51:58Z,2014-01-22T15:13:30Z
1194,Streamplot result python version dependent,2012-09-02T20:00:14Z,2012-09-03T11:21:04Z
1193,Cairo backend ignores alpha in imshow. ,2012-09-02T09:39:20Z,2014-01-28T09:40:07Z
1188,Errors in rendering boundaries between filled paths and within a quadmesh,2012-09-01T20:26:13Z,
1172,Axes.tick_params() fails with labelsize=<string> and direction='out',2012-08-30T04:45:44Z,2013-11-30T02:01:46Z
1110,twiny overrides formatter and adds another x-axis,2012-08-19T23:01:15Z,2012-09-04T16:54:28Z
1089,savefig to sys.stdout fails with pdf backend,2012-08-15T11:13:29Z,2012-09-19T17:52:11Z
1059,Matplotlib figure window freezes during interactive mode,2012-08-07T21:09:35Z,2012-08-16T18:46:13Z
1045,1.1.1 not in pypi,2012-07-28T17:39:21Z,2012-08-19T17:00:08Z
1039,Cairo backend marker/line style,2012-07-25T15:35:05Z,2016-10-10T21:01:39Z
1024,broken links in the gallery,2012-07-19T11:41:39Z,2012-08-03T19:44:58Z
1005,imshow with big-endian data types on OS X,2012-07-10T23:08:31Z,2012-08-19T19:10:44Z
966,axes_grid: indicate the axes for the suplot with append_axes,2012-06-27T14:13:20Z,2014-03-24T14:10:21Z
950,Gridspec example in documentation doesn't run,2012-06-15T16:21:27Z,2012-06-17T07:03:47Z
944,Memory issue using PdfPages,2012-06-11T18:45:19Z,
916,Figure sizing problems in most backends,2012-06-01T19:16:15Z,
854,Bug in Axes.relim when the first line is y_isdata=False and possible fix,2012-04-26T22:30:55Z,2013-05-29T16:12:26Z
841,Error autoscaling histogram with histtype='step',2012-04-18T23:20:39Z,2014-01-27T18:16:15Z
835,add documentation for figure show method in backend_bases and backend_template,2012-04-16T19:08:34Z,2012-09-05T17:11:33Z
808,pip install matplotlib fails,2012-03-31T05:05:14Z,2012-06-30T17:17:31Z
807,"Crash when using zoom tools on a plot: AutoMinorLocator after MultipleLocator gives ""ValueError: Need at least two major ticks to find minor tick locations""",2012-03-29T09:44:47Z,2012-08-06T20:26:36Z
804,pdf backend bug with logarithmic plots,2012-03-28T18:27:08Z,2012-04-13T20:20:06Z
796,im caching in draw_tex,2012-03-24T03:58:26Z,2015-07-17T02:59:42Z
775,TypeError in Axes.get_legend_handles_labels,2012-03-19T19:59:35Z,2013-01-26T05:44:34Z
769,GTK Warning message emitted when interactively saving figure,2012-03-16T20:59:06Z,2012-03-23T01:00:17Z
761,"mplot3d, addition to losing color on movement of canvas.",2012-03-12T23:33:57Z,2012-09-20T13:43:29Z
749,set_xlim in 3D scatter plots?,2012-03-08T21:04:21Z,2012-09-20T13:49:05Z
740,plt.pcolormesh and shape mismatch,2012-03-05T09:32:17Z,2013-05-22T18:24:24Z
711,no 'close_event' emitted with Qt4Agg backend,2012-02-23T13:38:19Z,2012-03-10T22:20:24Z
698,Text ignores rotational part of transformation,2012-02-09T03:07:38Z,
688,bbox_inches='tight' clips figure.suptitle,2012-01-29T20:19:19Z,2012-03-10T22:20:58Z
676,Error in documentation of matplotlib.pyplot.ticklabel_format,2012-01-16T14:46:30Z,2012-10-19T09:19:27Z
673,imread() not working on master,2012-01-14T23:16:07Z,2012-01-15T06:58:07Z
621,savefig to pdf and ps don't respect mew=0 or mec,2011-12-13T01:14:12Z,2012-01-01T09:15:29Z
563,sankey.add() has mutable defaults,2011-10-30T21:44:14Z,2012-08-21T13:22:21Z
560,QuadMesh.draw(): convert_xunits broken,2011-10-27T21:03:16Z,2013-07-22T14:26:08Z
545,Broken alpha handling in images,2011-10-21T13:30:14Z,2011-10-28T17:25:52Z
530,patch: font_manager glob problems cause failure to import matplotlib,2011-10-16T00:43:59Z,2011-10-21T14:23:26Z
525,key press events require window click in qt4agg,2011-10-14T14:01:55Z,2012-03-10T22:22:38Z
520,example source code in website is missing,2011-10-12T23:58:16Z,2011-10-19T18:20:16Z
510,Missing font-size units in SVG,2011-10-06T15:05:16Z,2011-10-21T18:14:42Z
441,Polar plot error bars don't rotate with angle,2011-08-29T09:02:28Z,
429,undefined behavior of figure.add_subplot() once subplot is modified.,2011-08-19T03:27:34Z,2014-01-16T21:37:09Z
412,legend's numpoints not working,2011-08-05T15:29:09Z,2011-08-08T15:05:03Z
408,Small issue with hist (probably in mac os x backend),2011-07-27T14:43:09Z,2011-11-08T14:39:55Z
402,Colorbar Issues with Axes_Grid,2011-07-16T16:51:33Z,2011-07-18T23:57:49Z
396,Plotting with negative x values on semilogx,2011-07-11T20:06:38Z,2012-09-25T08:47:37Z
370,regression: severe nonlinear slowdown in artist creation,2011-06-22T02:00:18Z,2011-06-23T16:04:52Z
363,Enable hatches for Cairo backend,2011-06-20T21:19:17Z,
353,Improved output of text in SVG and PDF,2011-06-20T21:19:15Z,2012-08-20T17:32:43Z
350,Scatter Marker and Plot Symbol Agreement,2011-06-20T21:19:14Z,2011-07-25T19:14:50Z
